City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Sibiti,CG,-3.6819,13.3499,84.61,50,74,3.06,broken clouds
328,Kankon,IN,15.0167,74.0167,76.8,82,97,2.93,overcast clouds
329,Ocos,GT,14.5094,-92.1933,88.72,76,8,1.68,clear sky
330,Taoudenni,ML,22.6783,-3.9836,103.41,8,35,3.38,scattered clouds
331,Lerwick,GB,60.1545,-1.1494,50.0,72,97,27.89,overcast clouds
332,Zyuzelskiy,RU,56.4856,60.1331,49.84,59,80,7.78,broken clouds
333,College,US,64.8569,-147.8028,28.2,82,100,1.59,overcast clouds
334,Qarqin,AF,37.4185,66.0436,66.6,11,93,10.2,overcast clouds
335,Denpasar,ID,-8.65,115.2167,82.06,78,20,3.44,few clouds
336,Itarema,BR,-2.9248,-39.9167,89.6,57,100,19.93,overcast clouds
337,Whitehorse,CA,60.7161,-135.0538,30.02,82,100,5.01,overcast clouds
338,Bima,ID,-8.4667,118.7167,78.89,87,88,2.98,overcast clouds
339,Urumqi,CN,43.801,87.6005,45.55,46,0,4.47,clear sky
340,Manokwari,ID,-0.8667,134.0833,81.21,74,100,1.88,overcast clouds
341,San Cristobal,VE,7.7669,-72.225,78.98,45,92,5.37,overcast clouds
342,Bengkulu,ID,-3.8004,102.2655,77.07,85,72,3.06,broken clouds
343,Sayat,TM,38.7839,63.8803,62.47,14,97,10.85,overcast clouds
